,coefficient
month,16.982130140591007
year_cos_1,13.667918881847415
is_weekend,-9.37123870264109
week_cos_1,7.535014670692926
year_sin_1,6.333699381008012
bank_holiday_flag,6.19560725415543
week_cos_2,-3.9332024920441295
week_sin_1,-2.606193232874337
quarter,2.287916873614168
week_sin_2,-2.0415161451496497
year_sin_3,1.3568020515995698
staffing_level_fte,-1.156592351370759
year_cos_3,-1.1079011665507859
day_of_year,-0.5721702146706152
day_of_month,0.5188365200864389
year_sin_2,-0.1902997453251264
day_of_week,0.14309914005842386
year_cos_2,-0.10052055753629037
media_mentions,-0.08589684764832523
channel_mix_index,0.06710844513933956
trend_idx,0.051105084495351415
week_of_year,-0.05096850340000396
backlog_days,-0.0377463107054356
trend_linear,0.0018313835331918579
